 0,0.005375
 1,0.646085
 2,0.869009
 3,0.948342
 4,0.981932
 5,0.992939
 6,0.997455
 7,1.000000
 8,1.000000
 9,1.000000
 10,1.000000
 11,1.000000
 12,1.000000
 13,1.000000
 14,1.000000
 15,1.000000
 16,1.000000
 17,1.000000
 18,1.000000
 19,1.000000
 20,1.000000
 21,1.000000
 22,1.000000
 23,1.000000
 24,1.000000
 25,1.000000
 26,1.000000
 27,1.000000
 28,1.000000
 29,1.000000
 30,1.000000
 31,1.000000
 32,1.000000
 33,1.000000
 34,1.000000
 35,1.000000
 36,1.000000
 37,1.000000
 38,1.000000
 39,1.000000
 40,1.000000
 41,1.000000
 42,1.000000
 43,1.000000
 44,1.000000
 45,1.000000
 46,1.000000
 47,1.000000
 48,1.000000
 49,1.000000
 50,1.000000

 0,0.003403
 1,0.555234
 2,0.835419
 3,0.932246
 4,0.972899
 5,0.992939
 6,0.997455
 7,1.000000
 8,1.000000
 9,1.000000
 10,1.000000
 11,1.000000
 12,1.000000
 13,1.000000
 14,1.000000
 15,1.000000
 16,1.000000
 17,1.000000
 18,1.000000
 19,1.000000
 20,1.000000
 21,1.000000
 22,1.000000
 23,1.000000
 24,1.000000
 25,1.000000
 26,1.000000
 27,1.000000
 28,1.000000
 29,1.000000
 30,1.000000
 31,1.000000
 32,1.000000
 33,1.000000
 34,1.000000
 35,1.000000
 36,1.000000
 37,1.000000
 38,1.000000
 39,1.000000
 40,1.000000
 41,1.000000
 42,1.000000
 43,1.000000
 44,1.000000
 45,1.000000
 46,1.000000
 47,1.000000
 48,1.000000
 49,1.000000
 50,1.000000

 0,0.003403
 1,0.344144
 2,0.702260
 3,0.886821
 4,0.954831
 5,0.979388
 6,0.992939
 7,0.994083
 8,0.994083
 9,0.994083
 10,1.000000
 11,0.998028
 12,0.996055
 13,0.998028
 14,0.993511
 15,0.996055
 16,0.996055
 17,0.993511
 18,0.993511
 19,0.991538
 20,0.994083
 21,0.996055
 22,0.994083
 23,0.994083
 24,0.989566
 25,0.993511
 26,0.993511
 27,0.989566
 28,0.982504
 29,0.994083
 30,0.993511
 31,0.997455
 32,1.000000
 33,0.996055
 34,0.996055
 35,0.998028
 36,0.994083
 37,0.991538
 38,0.993511
 39,0.991538
 40,0.981676
 41,0.983649
 42,0.993511
 43,0.991538
 44,0.994083
 45,0.994083
 46,0.998028
 47,0.993511
 48,0.989566
 49,0.994911
 50,0.990966

 0,0.003403
 1,0.106524
 2,0.333333
 3,0.589337
 4,0.777587
 5,0.882304
 6,0.920156
 7,0.937396
 8,0.941912
 9,0.947002
 10,0.959408
 11,0.960236
 12,0.951458
 13,0.966153
 14,0.955147
 15,0.957692
 16,0.968698
 17,0.964753
 18,0.973215
 19,0.956863
 20,0.963609
 21,0.954319
 22,0.930334
 23,0.937652
 24,0.945857
 25,0.957692
 26,0.937079
 27,0.938224
 28,0.926389
 29,0.948974
 30,0.942485
 31,0.966153
 32,0.970414
 33,0.964497
 34,0.965325
 35,0.947830
 36,0.953175
 37,0.942168
 38,0.950630
 39,0.966981
 40,0.947830
 41,0.940512
 42,0.954319
 43,0.956291
 44,0.957692
 45,0.954319
 46,0.963353
 47,0.947257
 48,0.971242
 49,0.949230
 50,0.942997

 0,0.003403
 1,0.069816
 2,0.226960
 3,0.388364
 4,0.525528
 5,0.648629
 6,0.724016
 7,0.750862
 8,0.806721
 9,0.791770
 10,0.852146
 11,0.846485
 12,0.864237
 13,0.862897
 14,0.844257
 15,0.848774
 16,0.886881
 17,0.902405
 18,0.903233
 19,0.859524
 20,0.868814
 21,0.884909
 22,0.831850
 23,0.847373
 24,0.853607
 25,0.878420
 26,0.850430
 27,0.861240
 28,0.851951
 29,0.855323
 30,0.864613
 31,0.852718
 32,0.873075
 33,0.860668
 34,0.859780
 35,0.836683
 36,0.846545
 37,0.841140
 38,0.860864
 39,0.874159
 40,0.886881
 41,0.858380
 42,0.878103
 43,0.858952
 44,0.876703
 45,0.877275
 46,0.858952
 47,0.841456
 48,0.878992
 49,0.852718
 50,0.866269

 0,0.003403
 1,0.035081
 2,0.110604
 3,0.081786
 4,0.108632
 5,0.191969
 6,0.331481
 7,0.382824
 8,0.422015
 9,0.397082
 10,0.458407
 11,0.420299
 12,0.501859
 13,0.475134
 14,0.531566
 15,0.582336
 16,0.663640
 17,0.682596
 18,0.703404
 19,0.676107
 20,0.663896
 21,0.707409
 22,0.680880
 23,0.675219
 24,0.708554
 25,0.721276
 26,0.717271
 27,0.705437
 28,0.708298
 29,0.709698
 30,0.727961
 31,0.705377
 32,0.704609
 33,0.720132
 34,0.708809
 35,0.670762
 36,0.686601
 37,0.689914
 38,0.656263
 39,0.704293
 40,0.730822
 41,0.696403
 42,0.718355
 43,0.722932
 44,0.734767
 45,0.748257
 46,0.695259
 47,0.685653
 48,0.721276
 49,0.685969
 50,0.674963

 0,0.003403
 1,0.012497
 2,0.063779
 3,-0.020898
 4,0.055889
 5,0.124592
 6,0.165500
 7,0.170468
 8,0.104311
 9,0.064923
 10,0.102203
 11,0.038966
 12,0.033621
 13,0.069696
 14,0.051056
 15,0.005691
 16,-0.026183
 17,-0.007348
 18,-0.000798
 19,-0.062635
 20,-0.136426
 21,-0.190313
 22,-0.256410
 23,-0.268184
 24,-0.264179
 25,-0.288797
 26,-0.261951
 27,-0.296114
 28,-0.207432
 29,-0.246744
 30,-0.273469
 31,-0.351401
 32,-0.315266
 33,-0.344084
 34,-0.341283
 35,-0.354262
 36,-0.400831
 37,-0.440143
 38,-0.357378
 39,-0.432510
 40,-0.516043
 41,-0.462156
 42,-0.494858
 43,-0.514386
 44,-0.563124
 45,-0.527817
 46,-0.440971
 47,-0.357122
 48,-0.425448
 49,-0.429589
 50,-0.362784

 0,0.003403
 1,0.012497
 2,0.059518
 3,-0.027960
 4,0.029360
 5,0.139287
 6,0.153093
